slug,brand,name,url,listed_price_usd,missing_parts_cost_usd,real_build_cost_usd,completeness_pct,cost_per_wh_usd,cost_per_w_usd,panel_watts,storage_wh,inverter_watts,voltage,chemistry,retailer,price_low_6mo_usd,price_high_6mo_usd,price_points_6mo,price_observed_at
anjfylque-hybrid-solar-inverter-3000w-24vdc-to110vac-off-gri,Anjfylque,"Hybrid Solar Inverter 3000W, 24Vdc to110Vac Off-Grid Inverter,100A MPPT Controller,Support Battery-Less or AGM Lithium Battery, Pure Sine Wave for Home Backup,Solar Systems",https://offgridempire.com/kits/anjfylque-hybrid-solar-inverter-3000w-24vdc-to110vac-off-gri,254,0,254,0,,,0,0,0,12,Unknown,Amazon,229.22,259,42,2026-06-21
anker-1000w-anker-solix-2-x-f3000-double-power-hub-power-saver-k,Anker,"Anker SOLIX F3000 Dual Kits | 4,096Wh - 6,144Wh | 2 x 2,000W AC Output | Stackable, Expandable & Portable Backup Power | 5-Year Warranty - 2 x F3000 + Double Power Hub + Power Saver Kits + FREE TT-30 Cable",https://offgridempire.com/kits/anker-1000w-anker-solix-2-x-f3000-double-power-hub-power-saver-k,3296,0,3296,86,0.8,3.3,1000,4096,2000,48,LiFePO4,Shop Solar Kits,3296,3996,66,2026-06-21
anker-1000w-anker-solix-2-x-f3000-double-voltage-hub-free-tt-30,Anker,"Anker SOLIX F3000 Dual Kits | 4,096Wh - 6,144Wh | 2 x 2,000W AC Output | Stackable, Expandable & Portable Backup Power | 5-Year Warranty - 2 x F3000 + Double Voltage Hub + FREE TT-30 Cable",https://offgridempire.com/kits/anker-1000w-anker-solix-2-x-f3000-double-voltage-hub-free-tt-30,2997,0,2997,86,0.73,3,1000,4096,2000,48,LiFePO4,Shop Solar Kits,2997,3597,66,2026-06-21
anker-100w-anker-solix-c1000-gen-2-1-x-100w-solar-panel,Anker,"Anker SOLIX C1000 Gen2 Portable Power Station | 1,024Wh / 2,000W | 49-Min UltraFast Recharge | 600W Solar Input | Choose Your Bundle Option | 5-Year Warranty - C1000 Gen 2 + 1 x 100W Solar Panel",https://offgridempire.com/kits/anker-100w-anker-solix-c1000-gen-2-1-x-100w-solar-panel,599,0,599,86,0.58,5.99,100,1024,2000,12,LiFePO4,Shop Solar Kits,529,649.99,67,2026-06-21
anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-automatic,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 10 x 400W Solar Panels / Automatic,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-automatic,8535,0,8535,71,0.71,21.34,400,12000,0,48,LiFePO4,Shop Solar Kits,8534.74,8534.74,2,2026-04-05
anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-manual,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 10 x 400W Solar Panels / Manual,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-manual,7435,0,7435,71,0.62,18.59,400,12000,0,48,LiFePO4,Shop Solar Kits,7434.64,7434.64,2,2026-04-05
anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-none,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 10 x 400W Solar Panels / None,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-10-x-400w-solar-panels-none,7165,0,7165,71,0.6,17.91,400,12000,0,48,LiFePO4,Shop Solar Kits,7164.53,7164.53,2,2026-04-05
anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-automatic,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 6 x 400W Solar Panels / Automatic,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-automatic,7962,0,7962,71,0.66,19.91,400,12000,0,48,LiFePO4,Shop Solar Kits,7962.45,7962.45,2,2026-04-05
anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-manual,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 6 x 400W Solar Panels / Manual,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-manual,6863,0,6863,71,0.57,17.16,400,12000,0,48,LiFePO4,Shop Solar Kits,6862.83,6862.83,2,2026-04-05
anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-none,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 6 x 400W Solar Panels / None,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-6-x-400w-solar-panels-none,6587,0,6587,71,0.55,16.47,400,12000,0,48,LiFePO4,Shop Solar Kits,6586.85,6586.85,2,2026-04-05
anker-18kw-anker-solix-12kwh-8-x-400w-solar-panels-automatic,Anker,Anker SOLIX E10 Whole Home Backup System | 6-18kWh LiFePO4 Battery | 10-30 kW Turbo Output | Smart Grid & Storm-Guard - 12kWh / 8 x 400W Solar Panels / Automatic,https://offgridempire.com/kits/anker-18kw-anker-solix-12kwh-8-x-400w-solar-panels-automatic,8251,0,8251,71,0.69,20.63,400,12000,0,48,LiFePO4,Shop Solar Kits,8251.2,8251.2,2,2026-04-05
